certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
ACO SICCADANIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9105083435,https://www.certipedia.com,,"EN 1090-1:
        Structural components and kits for steel structures to EXC3 according to EN 1090-2:2018
      
      
        EN ISO 3834-2:
        Welding construction elements, Pressure/non-pressure vessels, Pipelines","Certificate for management system according to EN 1090-1
Certificate for management system according to EN ISO 3834-2",ACO SICCADANIASPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄMostowa 30/70347-223 Kędzierzyn-KoźlePoland,https://www.certipedia.com/quality_marks/9105083435?locale=en&certificate_number=0198-203H-0248
"AUTOCARS ROCA DE SALT, S.L.",9000013294,https://www.certipedia.com/logos/000/450/540/9000013294_en.png?1625574702,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        -
      
      
        UNE 13816:
        -","Certificate for management system according to ISO 9001
Certificate for management system according to UNE 13816","AUTOCARS ROCA DE SALT, S.L.C/Amnistia Internacional, 3817190 SaltSpain",https://www.certipedia.com/quality_marks/9000013294?locale=en&certificate_number=0%2E04%2E21009
"AUTOCARS ROCA DE SALT, S.L.",9000013294,https://www.certipedia.com/logos/000/450/540/9000013294_en.png?1625574702,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        -
      
      
        UNE 13816:
        -","Certificate for management system according to ISO 9001
Certificate for management system according to UNE 13816","AUTOCARS ROCA DE SALT, S.L.C/Amnistia Internacional, 3817190 SaltSpain",https://www.certipedia.com/quality_marks/9000013294?locale=en&certificate_number=00%2F210006
"AUTOCARES J. RIVILLA, S.A.",9105076571,https://www.certipedia.com/logos/000/123/060/9105076571_en.png?1579513115,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              EN 13816:2003","ISO 14001:
        -
      
      
        ISO 9001:
        -
      
      
        UNE 13816:
        -","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to UNE 13816","AUTOCARES J. RIVILLA, S.A.Juan Bravo, 3 4B13500 PuertollanoSpain",https://www.certipedia.com/quality_marks/9105076571?locale=en&certificate_number=0%2E04%2E13282
"AUTOCARES J. RIVILLA, S.A.",9105076571,https://www.certipedia.com/logos/000/123/060/9105076571_en.png?1579513115,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              EN 13816:2003","ISO 14001:
        -
      
      
        ISO 9001:
        -
      
      
        UNE 13816:
        -","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to UNE 13816","AUTOCARES J. RIVILLA, S.A.Juan Bravo, 3 4B13500 PuertollanoSpain",https://www.certipedia.com/quality_marks/9105076571?locale=en&certificate_number=3%2E00%2E13142
"AUTOCARES J. RIVILLA, S.A.",9105076571,https://www.certipedia.com/logos/000/123/060/9105076571_en.png?1579513115,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              EN 13816:2003","ISO 14001:
        -
      
      
        ISO 9001:
        -
      
      
        UNE 13816:
        -","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to UNE 13816","AUTOCARES J. RIVILLA, S.A.Juan Bravo, 3 4B13500 PuertollanoSpain",https://www.certipedia.com/quality_marks/9105076571?locale=en&certificate_number=00%2F130118
"Autocares Dipesa, S.L.",9105072497,https://www.certipedia.com/logos/000/108/252/9105072497_en.png?1603100440,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Passenger transport and luxury limousine service with driver.",,"Autocares Dipesa, S.L.C/L'Orval, 5907817 Sant Jordi de Ses SalinesSpain",https://www.certipedia.com/quality_marks/9105072497?locale=en&certificate_number=0%2E04%2E19015
Autocar F.lli Mangione Srl,9105070025,https://www.certipedia.com/logos/000/101/442/9105070025_en.png?1535445534,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Delivery of services according to Article 2, letter i) and Article 6, paragraph 4 of Ministerial Decree 10 August 2007 Ministry of Economic Development in the field of digital tachographs: assembly, activation and technical operation activities; ""Calibration and testing activities of measuring instruments"".",,Autocar F.lli Mangione SrlVia G. Ungaretti snc92014 Porto EmpedocleItaly,https://www.certipedia.com/quality_marks/9105070025?locale=en&certificate_number=39+00+0411205
"AUTOCARES DANI-MAR, S.L.",9108632716,https://www.certipedia.com/logos/000/229/738/9108632716_en.png?1524368441,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Discretionary passenger transport.
      
      
        ISO 9001:
        Discretionary passenger transport.
      
      
        Protocolo COVID-19:
        Discretionary passenger transport.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to Protocolo COVID-19","AUTOCARES DANI-MAR, S.L.Pol.Ind. Cova Solera C/. París nº 1-7, nave 2608191 RubiSpain",https://www.certipedia.com/quality_marks/9108632716?locale=en&certificate_number=00%2F200026
"AUTOCARES DANI-MAR, S.L.",9108632716,https://www.certipedia.com/logos/000/229/738/9108632716_en.png?1524368441,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Discretionary passenger transport.
      
      
        ISO 9001:
        Discretionary passenger transport.
      
      
        Protocolo COVID-19:
        Discretionary passenger transport.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to Protocolo COVID-19","AUTOCARES DANI-MAR, S.L.Pol.Ind. Cova Solera C/. París nº 1-7, nave 2608191 RubiSpain",https://www.certipedia.com/quality_marks/9108632716?locale=en&certificate_number=3%2E00%2E16057
"AUTOCARES DANI-MAR, S.L.",9108632716,https://www.certipedia.com/logos/000/229/738/9108632716_en.png?1524368441,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Discretionary passenger transport.
      
      
        ISO 9001:
        Discretionary passenger transport.
      
      
        Protocolo COVID-19:
        Discretionary passenger transport.","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001
Certificate for management system according to Protocolo COVID-19","AUTOCARES DANI-MAR, S.L.Pol.Ind. Cova Solera C/. París nº 1-7, nave 2608191 RubiSpain",https://www.certipedia.com/quality_marks/9108632716?locale=en&certificate_number=0%2E04%2E16141
"Autobuses Teruel Zaragoza, SA",9105049654,https://www.certipedia.com/logos/000/008/348/9105049654_en.png?1524239293,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2008
              ISO 14001:2004
              EN 13816:2003","UNE 13816:
        -",Certificates for management system according to UNE 13816,"TEZASA - AUTOBUSES TERUEL ZARAGOZA, S.A.Parque Industrial El Polígono, Calle Rio Arba, nave 24-2650410 Cuarte de Huerva (Zaragoza)Spain",https://www.certipedia.com/quality_marks/9105049654?locale=en&certificate_number=00%2F100003%2F01
Autobus S.A.,9108628314,https://www.certipedia.com/logos/000/186/126/9108628314_en.png?1539952721,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Servicio de postventa de vehículos comerciales de la marca Mercedes-Benz.
 Venta de Chasis 0km para transporte de pasajeros de la marca Mercedes-Benz.
 Venta de repuestos para vehículos Mercedes-Benz.
 Venta de vehículos usados.
 Venta de carrocerías para transporte de pasajeros.",Certificates for management system according to ISO 9001,Autobus S.A.Avda Juan Bautista Alberdi 73341440 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9108628314?locale=en&certificate_number=01+10006+1529778%2F03
Autobus S.A.,9108628314,https://www.certipedia.com/logos/000/186/126/9108628314_en.png?1539952721,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Servicio de postventa de vehículos comerciales de la marca Mercedes-Benz.
 Venta de Chasis 0km para transporte de pasajeros de la marca Mercedes-Benz.
 Venta de repuestos para vehículos Mercedes-Benz.
 Venta de vehículos usados.
 Venta de carrocerías para transporte de pasajeros.",Certificates for management system according to ISO 9001,Autobus S.A.Avda Juan Bautista Alberdi 73341440 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9108628314?locale=en&certificate_number=01+10006+1529778%2F02
"Auto-Way (Wuxi) Casting Industry Co., Ltd.",9105037817,https://www.certipedia.com/logos/000/033/994/9105037817_small.png,,"D1:
        Manufacturing of Industrial Valves
      
      
        PED 97/23/EC MM + AD2000 W0:
        Manufacturing of castings","Certificate for management system according to D1
Certificate for management system according to PED 97/23/EC MM + AD2000 W0","Jiangxi Auto-Way Casting Industry Co.,Ltd.No.147 Huancheng Road,000000 Jingan County, Jiangxi Province,China (Mainland)",https://www.certipedia.com/quality_marks/9105037817?locale=en&certificate_number=01+202+CHN%2FQ-06+0205
Autobus S.A.,9108628314,https://www.certipedia.com/logos/000/186/126/9108628314_en.png?1539952721,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Servicio de postventa de vehículos comerciales de la marca Mercedes-Benz.
 Venta de Chasis 0km para transporte de pasajeros de la marca Mercedes-Benz.
 Venta de repuestos para vehículos Mercedes-Benz.
 Venta de vehículos usados.
 Venta de carrocerías para transporte de pasajeros.",Certificates for management system according to ISO 9001,Autobus S.A.Avda Juan Bautista Alberdi 73341440 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9108628314?locale=en&certificate_number=01+10006+1529778%2F01
Autobus S.A.,9108628314,https://www.certipedia.com/logos/000/186/126/9108628314_en.png?1539952721,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Servicio de postventa de vehículos comerciales de la marca Mercedes-Benz.
 Venta de Chasis 0km para transporte de pasajeros de la marca Mercedes-Benz.
 Venta de repuestos para vehículos Mercedes-Benz.
 Venta de vehículos usados.
 Venta de carrocerías para transporte de pasajeros.",Certificates for management system according to ISO 9001,Autobus S.A.Avda Juan Bautista Alberdi 73341440 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9108628314?locale=en&certificate_number=01+10006+1529778
Auto-Rundumservice und Autoteilekaufhaus Pinneberg Nord GmbH,9105032192,https://www.certipedia.com,,"AltFahrzeugV:
        ELV dismantler",,Auto-Rundumservice undAutoteilekaufhausPinneberg Nord GmbHHaderslebener Str. 1 A25421 PinnebergGermany,https://www.certipedia.com/quality_marks/9105032192?locale=en&certificate_number=01+410+362003
Auto-Recycling-Anlage Ziegler,9105052734,https://www.certipedia.com,,"AltFahrzeugV:
        Recycling of end-of-life-vehicles",,Auto-Recycling-Anlage ZieglerWeiherstr. 965439 FlörsheimGermany,https://www.certipedia.com/quality_marks/9105052734?locale=en&certificate_number=01+410+090094
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137%2F07
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137%2F04
Auto-Engel GmbH,9000003695,https://www.certipedia.com,,"junited:
        - Verglasen von Personenkraftwagen und Lastkraftwagen
- Steinschlagreparatur",,Auto-Engel GmbHSternstr. 538820 HalberstadtGermany,https://www.certipedia.com/quality_marks/9000003695?locale=en&certificate_number=01+358+1900753
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137%2F03
Auto-Glas Walter GmbH,9000003585,https://www.certipedia.com,,"junited:
        - Verglasen von Personenkraftwagen und Lastkraftwagen
- Steinschlagreparatur",,Auto-Glas Walter GmbHTurmstr. 28-3036093 KünzellGermany,https://www.certipedia.com/quality_marks/9000003585?locale=en&certificate_number=01+358+1900323
"Auto Viação do Tamega, Lda.",9000003933,https://www.certipedia.com/logos/000/377/298/9000003933_en.png?1576863912,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Supply of national and international public road passenger transport services, bus carriers, regular or occasional bus rental.
Passenger urban transport in Chaves (TUC).",,"Auto Viação do Tamega, Lda.Largo da Estação5400-231 ChavesPortugal",https://www.certipedia.com/quality_marks/9000003933?locale=en&certificate_number=0+01+09206
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137%2F02
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137%2F01
Auto-Kabel Management GmbH,9108630985,https://www.certipedia.com,,"ISO 50001:
        Development and Manufacturing of Battery, Starter, Ground lines and Power Components",Certificates for management system according to ISO 50001,Auto-Kabel Management GmbHIm Grien 179688 HausenGermany,https://www.certipedia.com/quality_marks/9108630985?locale=en&certificate_number=01+407+1600137
Auto Tissue Berlin GmbH,38078,https://www.certipedia.com/logos/000/106/808/0000038078_en.png?1503307458,The certificate holder's Management System corresponds to standard EN ISO 13485:2016.,"EN ISO 13485:
        Design and Development, Manufacture and Distribution of decellularized xenogenic implants for treatment of cardiovascular and vascular diseases as well as contract development and contract manufacturing of non-active medical devices utilizing animal tissues",,Auto Tissue Berlin GmbHGoerzallee 305 D14167 BerlinGermany,https://www.certipedia.com/quality_marks/0000038078?locale=en&certificate_number=SX+1673105-1
Auto Velte GmbH,9105011689,https://www.certipedia.com,,"ISO 9001:
        Authorised Mercedes-Benz services and mediation Authorised Volkswagen services (Trade by used vehicles, trade with parts and accessories, service, car body repair and vehicle spraying)",,Auto Velte GmbHMarburger Str. 3035216 BiedenkopfGermany,https://www.certipedia.com/quality_marks/9105011689?locale=en&certificate_number=01+100+080202
"Auto Skill Industrial Co., Ltd.",9105068100,https://www.certipedia.com/logos/000/095/894/9105068100_en.png?1519900302,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Design/Development, Manufacturing and Sales of Hardware, Hand Tools and Repair Tools for Automobiles",,"Auto Skill Industrial Co., Ltd.No. 220, Sec. 1, Chang Lung Road, Taiping District,411 Taichung City,Taiwan",https://www.certipedia.com/quality_marks/9105068100?locale=en&certificate_number=01+100+116914
Auto Röser GmbH,9108621133,https://www.certipedia.com,,"AltFahrzeugV:
        ELV dismantler",,Auto Röser GmbHWurmbenden 2652070 AachenGermany,https://www.certipedia.com/quality_marks/9108621133?locale=en&certificate_number=01+410+362007
Auto Precision Engineering,9105060715,https://www.certipedia.com,,"ISO 9001:
        Manufacture of  Machined Components.",Certificates for management system according to ISO 9001,"Auto Precision EngineeringP.61, 3rd Cross, KIADB. Kudamalakunte Industrial Area,561208 Gowribidanur Taluk, Chikkaballapur DistIndia",https://www.certipedia.com/quality_marks/9105060715?locale=en&certificate_number=85+100+001+10101
Auto Mann GmbH  & Co.,9108612895,https://www.certipedia.com,,"GMP+:
        GMP+ B4
Transport of feed, road transport

GMP031024",Certificates for management system according to GMP+,Auto Mann GmbH  & Co.Steingrubenstr. 1389143 BlaubeurenGermany,https://www.certipedia.com/quality_marks/9108612895?locale=en&certificate_number=01+185+1500319%2F01
Auto Mann GmbH  & Co.,9108612895,https://www.certipedia.com,,"GMP+:
        GMP+ B4
Transport of feed, road transport

GMP031024",Certificates for management system according to GMP+,Auto Mann GmbH  & Co.Steingrubenstr. 1389143 BlaubeurenGermany,https://www.certipedia.com/quality_marks/9108612895?locale=en&certificate_number=01+185+1500319%2F02
AMEVIDA SE,9105057862,https://www.certipedia.com,,"DTAG-GP CC:
        Erbringung von Inbound und Outbound Dienstleistungen für die Deutsche Telekom Service GmbH",Certificates for management system according to DTAG-GP CC,AMEVIDA SEDuisburger Str. 37546049 OberhausenGermany,https://www.certipedia.com/quality_marks/9105057862?locale=en&certificate_number=01+193+129497
AMEVIDA SE,9105057862,https://www.certipedia.com,,"DTAG-GP CC:
        Erbringung von Inbound und Outbound Dienstleistungen für die Deutsche Telekom Service GmbH",Certificates for management system according to DTAG-GP CC,AMEVIDA SEDuisburger Str. 37546049 OberhausenGermany,https://www.certipedia.com/quality_marks/9105057862?locale=en&certificate_number=01+193+129458
Auto Prana S.A.,9000002466,https://www.certipedia.com/logos/000/365/278/9000002466_en.png?1568829002,The certificate holder's Management System corresponds to standard ISO 14001:2015.,"ISO 14001:
        Sales of brand new cars. Sales of spare parts and accessories, Maintenance and repair jobs inherent in vehicles, courtesy wash.",Certificates for management system according to ISO 14001,Auto Prana S.A.Av. Francisco Beiró 35021419 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9000002466?locale=en&certificate_number=01+10406+1929780
Auto Krings GmbH,9105041528,https://www.certipedia.com,,"ISO 9001:
        Authorised Mercedes-Benz services and mediation
(Service, trade by used carriage and annual carriage, parts and accessories)",,Auto Krings GmbHGinsterberg 153894 MechernichGermany,https://www.certipedia.com/quality_marks/9105041528?locale=en&certificate_number=01+100+101284
Auto Prana S.A.,9000002466,https://www.certipedia.com/logos/000/365/278/9000002466_en.png?1568829002,The certificate holder's Management System corresponds to standard ISO 14001:2015.,"ISO 14001:
        Sales of brand new cars. Sales of spare parts and accessories, Maintenance and repair jobs inherent in vehicles, courtesy wash.",Certificates for management system according to ISO 14001,Auto Prana S.A.Av. Francisco Beiró 35021419 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9000002466?locale=en&certificate_number=01+10406+1929780%2F01
AMEVIDA SE,9108644542,https://www.certipedia.com,,DTAG-GP CC:,,AMEVIDA SEz. H. Herrn Mattias EickhoffLeithestr. 4545886 GelsenkirchenGermany,https://www.certipedia.com/quality_marks/9108644542?locale=en&certificate_number=01+193+129457
Auto Prana S.A.,9000002466,https://www.certipedia.com/logos/000/365/278/9000002466_en.png?1568829002,The certificate holder's Management System corresponds to standard ISO 14001:2015.,"ISO 14001:
        Sales of brand new cars. Sales of spare parts and accessories, Maintenance and repair jobs inherent in vehicles, courtesy wash.",Certificates for management system according to ISO 14001,Auto Prana S.A.Av. Francisco Beiró 35021419 Ciudad Autónoma Buenos AiresArgentina,https://www.certipedia.com/quality_marks/9000002466?locale=en&certificate_number=01+10406+1929780%2F02
"Ametek industrial technology (Shanghai) co., ltd.",9000013580,https://www.certipedia.com,,"ISO 9001:
        Manufacturing, Sales and Technical Support of Liquid Level Switch and Liquid Level Transmitter; Sales and Technical Support of Flow Transmitter and Flow Switch",,"Ametek industrial technology (Shanghai)co., ltd.Plant 6, No.191, Huajin Rd., Minhang District,Shanghai201108 ShanghaiChina (Mainland)",https://www.certipedia.com/quality_marks/9000013580?locale=en&certificate_number=01+100+126550
AMETEK Brookfield,9108632581,https://www.certipedia.com,,"ISO 9001:
        Design, Manufacture, Service, Repair, Field Support and Calibration of AMETEK Brookfield Laboratory and Process Viscometers, Rheometers, Texture, Moisture and Toxic Gas Analyzers, and Accessories.",Certificates for management system according to ISO 9001,AMETEK BrookfieldCommerce Blvd 1102346 MiddleboroUnited States,https://www.certipedia.com/quality_marks/9108632581?locale=en&certificate_number=74+300+4189%2F01
AMETEK Brookfield,9108632581,https://www.certipedia.com,,"ISO 9001:
        Design, Manufacture, Service, Repair, Field Support and Calibration of AMETEK Brookfield Laboratory and Process Viscometers, Rheometers, Texture, Moisture and Toxic Gas Analyzers, and Accessories.",Certificates for management system according to ISO 9001,AMETEK BrookfieldCommerce Blvd 1102346 MiddleboroUnited States,https://www.certipedia.com/quality_marks/9108632581?locale=en&certificate_number=74+300+4189
"Ametaline Lighting Co., Ltd.",9105070578,https://www.certipedia.com,,"ISO 9001:
        Manufacturing and Sales of  Commercial  Luminaries",,"Ametaline Lighting Co., Ltd.No. 83, Second Property Area,Jiuzhouji, Xiaolan Town,Zhongshan City528415 GuangdongChina (Mainland)",https://www.certipedia.com/quality_marks/9105070578?locale=en&certificate_number=01+100+2132440
Amet Aneta Jobda,9000001894,https://www.certipedia.com,,"EN 1090-1:
        Structural components and kits for steel structures to EXC2 according to EN 1090-2:2018
      
      
        EN ISO 3834-3:
        Manufacture of steel constructions or of components for steel constructions","Certificate for management system according to EN 1090-1
Certificates for management system according to EN ISO 3834-3",Amet Aneta JobdaPrawnicza 4302-495 WarszawaPoland,https://www.certipedia.com/quality_marks/9000001894?locale=en&certificate_number=01+8610+PL%2FA-210192%2E00
Amet Aneta Jobda,9000001894,https://www.certipedia.com,,"EN 1090-1:
        Structural components and kits for steel structures to EXC2 according to EN 1090-2:2018
      
      
        EN ISO 3834-3:
        Manufacture of steel constructions or of components for steel constructions","Certificate for management system according to EN 1090-1
Certificates for management system according to EN ISO 3834-3",Amet Aneta JobdaPrawnicza 4302-495 WarszawaPoland,https://www.certipedia.com/quality_marks/9000001894?locale=en&certificate_number=2627-CPR-1090-1%2E84939394%2ET%C3%9CVRH%2E20%2E02
Amet Aneta Jobda,9000001894,https://www.certipedia.com,,"EN 1090-1:
        Structural components and kits for steel structures to EXC2 according to EN 1090-2:2018
      
      
        EN ISO 3834-3:
        Manufacture of steel constructions or of components for steel constructions","Certificate for management system according to EN 1090-1
Certificates for management system according to EN ISO 3834-3",Amet Aneta JobdaPrawnicza 4302-495 WarszawaPoland,https://www.certipedia.com/quality_marks/9000001894?locale=en&certificate_number=0198-203I-0082
Ametai Company Limited,9105060483,https://www.certipedia.com/logos/000/008/762/9105060483_en.png?1503897685,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Manufacturing and Sales of Welded Stainless Steel Pipes/Tubes for Industrial, Pressure and Mechanical Applications
      
      
        MM+AD2000W0:
        Manufacturing of Welded Stainless Steel Pipes for Pressure Purpose","Certificates for management system according to ISO 9001
Certificates for management system according to MM+AD2000W0","Ametai Company Limited500/43 Moo 3 Tambol Tasit Amphur,21140 Pluakdaeng RayongThailand",https://www.certipedia.com/quality_marks/9105060483?locale=en&certificate_number=01+100+106202%2F01
Amestra Holdings (Pty) Ltd,9000006159,https://www.certipedia.com/logos/000/399/750/9000006159_en.png?1591094722,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Supply of Maintenance Services",,"Amestra Holdings (Pty) LtdWatermeyer Street, Ext 16 1401035 WitbankSouth Africa",https://www.certipedia.com/quality_marks/9000006159?locale=en&certificate_number=01+100+928789
Ametai Company Limited,9105060483,https://www.certipedia.com/logos/000/008/762/9105060483_en.png?1503897685,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Manufacturing and Sales of Welded Stainless Steel Pipes/Tubes for Industrial, Pressure and Mechanical Applications
      
      
        MM+AD2000W0:
        Manufacturing of Welded Stainless Steel Pipes for Pressure Purpose","Certificates for management system according to ISO 9001
Certificates for management system according to MM+AD2000W0","Ametai Company Limited500/43 Moo 3 Tambol Tasit Amphur,21140 Pluakdaeng RayongThailand",https://www.certipedia.com/quality_marks/9105060483?locale=en&certificate_number=01+202+TWN%2FQ-10+0220
American Thermoplastic Extrusion Company,9108651296,https://www.certipedia.com,,"ISO 14001:
        Manufacture of Vinyl Flooring Products",,American Thermoplastic Extrusion CompanyNW 128th Street 485133054 MiamiUnited States,https://www.certipedia.com/quality_marks/9108651296?locale=en&certificate_number=74+300+4364
Amerongen Schilderwerken B.V.,9000009668,https://www.certipedia.com/logos/000/425/460/9000009668_en.png?1610958319,The certificate holder's Management System corresponds to standard VCA*.,"VCA *:
        Het uitvoeren van schilderwerken, wand- en plafondafwerking en glaszetten.",,Amerongen Schilderwerken B.V.Parallelweg 157271 VB BORCULONetherlands,https://www.certipedia.com/quality_marks/9000009668?locale=en&certificate_number=SH_1946866
Americold Chile S.A.,9105080831,https://www.certipedia.com/logos/000/152/182/9105080831_en.png?1546953901,The certificate holder's Management System corresponds to standard HACCP.,"HACCP:
        Reception, Frozen Storage, Frozen in Cold Tunnel and Dispatch of Products such as Dairy, Agricultural, Livestock, Fishing, Farinaceous, Confectionery and Ice Cream",,Americold Chile S.A.Avenida Américo Vespucio 3508730593 QuilicuraChile,https://www.certipedia.com/quality_marks/9105080831?locale=en&certificate_number=01+18007+1729635
"American Standard, Inc.",9108658403,https://www.certipedia.com,,"ISO 14001:
        The manufacture of Acrylic Bathtubs, Acrylic Shower Bases, Acrylic Whirlpools, Bathroom Shower Walls, Steel Enamel Tubs, and Americast Tubs.
      
      
        ISO 9001:
        Manufacture of Acrylic Bathtubs, Acrylic Shower Bases, and Acrylic Whirlpools","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Standard, Inc.S Ellsworth Ave 60544460 SalemUnited States",https://www.certipedia.com/quality_marks/9108658403?locale=en&certificate_number=74+300+4628
"American Standard, Inc.",9108658403,https://www.certipedia.com,,"ISO 14001:
        The manufacture of Acrylic Bathtubs, Acrylic Shower Bases, Acrylic Whirlpools, Bathroom Shower Walls, Steel Enamel Tubs, and Americast Tubs.
      
      
        ISO 9001:
        Manufacture of Acrylic Bathtubs, Acrylic Shower Bases, and Acrylic Whirlpools","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","American Standard, Inc.S Ellsworth Ave 60544460 SalemUnited States",https://www.certipedia.com/quality_marks/9108658403?locale=en&certificate_number=74+300+4495
American Standard Brands dba FIAT Products,9000016472,https://www.certipedia.com,,"ISO 14001:
        The Shipping, Receiving and Maintenance for Terrazzo Manufacturing and FIAT Manufacturing and Packaging",,American Standard Brandsdba FIAT ProductsHighway3057 70642501 SomersetUnited States,https://www.certipedia.com/quality_marks/9000016472?locale=en&certificate_number=74+300+4622
American Standard B&K Mexico S de RL de CV (Planta Cerámicos),9108658436,https://www.certipedia.com/logos/000/292/210/9108658436_en.png?1579557287,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic. Plumbing, Fixtures Manufacturing
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001",American Standard B&K Mexico S de RLde CV (Planta Cerámicos)Carretera San Antonio de los Horcones Km 620900 San Antonio de los Horcones Jesús MaríaMexico,https://www.certipedia.com/quality_marks/9108658436?locale=en&certificate_number=74+300+4528
American Standard B&K Mexico S de RL de CV (Planta Cerámicos),9108658436,https://www.certipedia.com/logos/000/292/210/9108658436_en.png?1579557287,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 14001:
        Ceramic. Plumbing, Fixtures Manufacturing
      
      
        ISO 9001:
        Ceramic Plumbing Fixtures Manufacturing.","Certificate for management system according to ISO 14001
Certificates for management system according to ISO 9001",American Standard B&K Mexico S de RLde CV (Planta Cerámicos)Carretera San Antonio de los Horcones Km 620900 San Antonio de los Horcones Jesús MaríaMexico,https://www.certipedia.com/quality_marks/9108658436?locale=en&certificate_number=01+100+1428078
